model,temperature,precision,recall,f1
deepseek-r1:14b,0.0,1.0,0.6,0.75
deepseek-r1:14b,0.1,1.0,0.6,0.75
deepseek-r1:14b,0.2,1.0,0.6,0.75
deepseek-r1:14b,0.3,1.0,0.8,0.8888888888888888
deepseek-r1:14b,0.4,0.75,0.6,0.6666666666666666
deepseek-r1:14b,0.5,1.0,0.6,0.75
deepseek-r1:14b,0.6,1.0,0.6,0.75
deepseek-r1:14b,0.7,1.0,0.6,0.75
deepseek-r1:14b,0.8,1.0,0.4,0.5714285714285714
deepseek-r1:14b,0.9,1.0,0.4,0.5714285714285714
deepseek-r1:14b,1.0,1.0,0.6,0.75
deepseek-r1:70b,0.0,1.0,0.8,0.8888888888888888
deepseek-r1:70b,0.1,1.0,0.8,0.8888888888888888
deepseek-r1:70b,0.2,1.0,0.6,0.75
deepseek-r1:70b,0.3,1.0,0.8,0.8888888888888888
deepseek-r1:70b,0.4,1.0,0.8,0.8888888888888888
deepseek-r1:70b,0.5,1.0,1.0,1.0
deepseek-r1:70b,0.6,1.0,0.8,0.8888888888888888
deepseek-r1:70b,0.7,1.0,0.6,0.75
deepseek-r1:70b,0.8,1.0,0.6,0.75
deepseek-r1:70b,0.9,1.0,0.6,0.75
deepseek-r1:70b,1.0,1.0,0.6,0.75
gpt-4o-2024-11-20,0.0,1.0,0.8,0.8888888888888888
gpt-4o-2024-11-20,0.1,1.0,0.8,0.8888888888888888
gpt-4o-2024-11-20,0.2,1.0,0.8,0.8888888888888888
gpt-4o-2024-11-20,0.3,1.0,0.8,0.8888888888888888
gpt-4o-2024-11-20,0.4,1.0,0.8,0.8888888888888888
gpt-4o-2024-11-20,0.5,1.0,0.8,0.8888888888888888
gpt-4o-2024-11-20,0.6,1.0,1.0,1.0
gpt-4o-2024-11-20,0.7,1.0,0.8,0.8888888888888888
gpt-4o-2024-11-20,0.8,1.0,0.8,0.8888888888888888
gpt-4o-2024-11-20,0.9,1.0,0.8,0.8888888888888888
gpt-4o-2024-11-20,1.0,1.0,0.8,0.8888888888888888
gpt-4o-mini-2024-07-18,0.0,1.0,0.6,0.75
gpt-4o-mini-2024-07-18,0.1,1.0,0.6,0.75
gpt-4o-mini-2024-07-18,0.2,1.0,0.6,0.75
gpt-4o-mini-2024-07-18,0.3,1.0,0.6,0.75
gpt-4o-mini-2024-07-18,0.4,1.0,0.6,0.75
gpt-4o-mini-2024-07-18,0.5,1.0,0.6,0.75
gpt-4o-mini-2024-07-18,0.6,1.0,0.6,0.75
gpt-4o-mini-2024-07-18,0.7,1.0,0.6,0.75
gpt-4o-mini-2024-07-18,0.8,1.0,1.0,1.0
gpt-4o-mini-2024-07-18,0.9,1.0,0.6,0.75
gpt-4o-mini-2024-07-18,1.0,1.0,0.6,0.75
llama3.1:70b,0.0,1.0,0.8,0.8888888888888888
llama3.1:70b,0.1,1.0,0.6,0.75
llama3.1:70b,0.2,1.0,0.8,0.8888888888888888
llama3.1:70b,0.3,1.0,0.4,0.5714285714285714
llama3.1:70b,0.4,1.0,0.8,0.8888888888888888
llama3.1:70b,0.5,1.0,0.8,0.8888888888888888
llama3.1:70b,0.6,1.0,0.8,0.8888888888888888
llama3.1:70b,0.7,1.0,0.8,0.8888888888888888
llama3.1:70b,0.8,1.0,0.6,0.75
llama3.1:70b,0.9,1.0,0.6,0.75
llama3.1:70b,1.0,1.0,0.4,0.5714285714285714
llama3.1:8b,0.0,1.0,0.6,0.75
llama3.1:8b,0.1,1.0,0.6,0.75
llama3.1:8b,0.2,1.0,0.6,0.75
llama3.1:8b,0.3,1.0,0.6,0.75
llama3.1:8b,0.4,1.0,0.6,0.75
llama3.1:8b,0.5,1.0,0.6,0.75
llama3.1:8b,0.6,1.0,0.6,0.75
llama3.1:8b,0.7,1.0,0.6,0.75
llama3.1:8b,0.8,1.0,0.6,0.75
llama3.1:8b,0.9,1.0,0.6,0.75
llama3.1:8b,1.0,1.0,0.8,0.8888888888888888
