dependency_category,index,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,config_type,rating,final_rating,final_category,sub_category,explanation
value-equality,48,apollo::::apollo-biz/pom.xml::::project::::dependencies::::dependency_apollo-audit-spring-boot-starter::::groupId::::com.ctrip.framework.apollo <-> apollo::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_apollo-adminservice::::groupId::::com.ctrip.framework.apollo,apollo,project.dependencies.dependency_apollo-audit-spring-boot-starter.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-biz/pom.xml,maven,project.dependencyManagement.dependencies.dependency_apollo-adminservice.groupId,com.ctrip.framework.apollo,ConfigType.NAME,pom.xml,maven,correct,Borderline,False,Libraries,Maven Dependency,different dependencies can have their own groupID
value-equality,406,spring-boot-admin::::spring-boot-admin-server-cloud/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-kubernetes-fabric8::::optional::::true <-> spring-boot-admin::::spring-boot-admin-server-cloud/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter::::optional::::true,spring-boot-admin,project.dependencies.dependency_spring-cloud-starter-kubernetes-fabric8.optional,TRUE,ConfigType.BOOLEAN,spring-boot-admin-server-cloud/pom.xml,maven,project.dependencies.dependency_spring-cloud-starter.optional,TRUE,ConfigType.BOOLEAN,spring-boot-admin-server-cloud/pom.xml,maven,correct,FALSE,False,Libraries,Maven Dependency,different options that are not related
value-equality,350,pig::::pig-boot/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-undertow::::groupId::::org.springframework.boot <-> pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_spring-boot-starter-web::::exclusions::::exclusion_spring-boot-starter-tomcat::::groupId::::org.springframework.boot,pig,project.dependencies.dependency_spring-boot-starter-undertow.groupId,org.springframework.boot,ConfigType.NAME,pig-boot/pom.xml,maven,project.dependencyManagement.dependencies.dependency_spring-boot-starter-web.exclusions.exclusion_spring-boot-starter-tomcat.groupId,org.springframework.boot,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,correct,FALSE,False,Libraries,Maven Dependency,different dependencies can have their own groupID
value-equality,375,pig::::pig-common/pig-common-feign/pom.xml::::project::::dependencies::::dependency_caffeine::::artifactId::::caffeine <-> pig::::pig-gateway/pom.xml::::project::::dependencies::::dependency_caffeine::::artifactId::::caffeine,pig,project.dependencies.dependency_caffeine.artifactId,caffeine,ConfigType.NAME,pig-common/pig-common-feign/pom.xml,maven,project.dependencies.dependency_caffeine.artifactId,caffeine,ConfigType.NAME,pig-gateway/pom.xml,maven,correct,Borderline,True,Libraries,Maven Dependency,same dependency in different modules have same artifactID
value-equality,211,mall::::mall-admin/src/main/resources/application-dev.yml::::spring.datasource.url::::jdbc:mysql://localhost:3306/mall?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai&useSSL=false <-> mall::::mall-portal/src/main/resources/application-dev.yml::::spring.datasource.url::::jdbc:mysql://localhost:3306/mall?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai&useSSL=false,mall,spring.datasource.url,jdbc:mysql://localhost:3306/mall?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai&useSSL=false,ConfigType.URL,mall-admin/src/main/resources/application-dev.yml,spring,spring.datasource.url,jdbc:mysql://localhost:3306/mall?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai&useSSL=false,ConfigType.URL,mall-portal/src/main/resources/application-dev.yml,spring,correct,TRUE,True,Datasource,Datasource,module use same datasource
value-equality,194,mall-swarm::::document/docker/docker-compose-env.yml::::services::::redis::::ports::::in::::6379 <-> mall-swarm::::document/docker/docker-compose-env.yml::::services::::redis::::ports::::out::::6379,mall-swarm,services.redis.ports.in,6379,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose,services.redis.ports.out,6379,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose,correct,Borderline,False,Port,Port,host and container port can be different
value-equality,394,pig::::pig-boot/Dockerfile::::FROM::::registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis <-> pig::::pig-visual/pig-monitor/Dockerfile::::FROM::::registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis,pig,FROM,registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis,ConfigType.UNKNOWN,pig-boot/Dockerfile,docker,FROM,registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis,ConfigType.UNKNOWN,pig-visual/pig-monitor/Dockerfile,docker,correct,FALSE,False,Independent Components,Different Dockerfiles,Dockerfiles are independent
value-equality,412,spring-boot-admin::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-clean-plugin::::groupId::::org.apache.maven.plugins <-> spring-boot-admin::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-install-plugin::::groupId::::org.apache.maven.plugins,spring-boot-admin,project.build.pluginManagement.plugins.plugin_maven-clean-plugin.groupId,org.apache.maven.plugins,ConfigType.NAME,pom.xml,maven,project.build.pluginManagement.plugins.plugin_maven-install-plugin.groupId,org.apache.maven.plugins,ConfigType.NAME,pom.xml,maven,correct,FALSE,False,Libraries,Maven Plugin,different plugins that are not related
value-equality,155,mall-swarm::::mall-admin/src/main/resources/application.yml::::spring.datasource.password::::root <-> mall-swarm::::mall-search/src/main/resources/application.yml::::spring.datasource.password::::root,mall-swarm,spring.datasource.password,root,ConfigType.PASSWORD,mall-admin/src/main/resources/application.yml,spring,spring.datasource.password,root,ConfigType.PASSWORD,mall-search/src/main/resources/application.yml,spring,correct,Borderline,False,Datasource,Datasource,"unless explicitely stated that both modules share same database  then true, else false"
value-equality,100,litemall::::litemall-admin-api/src/main/resources/application.yml::::logging.level.org.linlinjava.litemall::::ERROR <-> litemall::::litemall-wx-api/src/main/resources/application.yml::::logging.level.org.linlinjava.litemall::::ERROR,litemall,logging.level.org.linlinjava.litemall,ERROR,ConfigType.UNKNOWN,litemall-admin-api/src/main/resources/application.yml,spring,logging.level.org.linlinjava.litemall,ERROR,ConfigType.UNKNOWN,litemall-wx-api/src/main/resources/application.yml,spring,correct,FALSE,False,Others,Logging Level,logging levels can be different 
